Country,Region/State,Zip/Postal Code,Weight (and above),Shipping Price
THA,*,10100,0,50
THA,*,10100,2.51,70
THA,*,10100,5.01,100
THA,*,10100,10.01,130
THA,*,10100,20.01,140
THA,*,10100,30.01,165
THA,*,10100,40.01,210
THA,*,10110,0,50
THA,*,10110,2.51,70
THA,*,10110,5.01,100
THA,*,10110,10.01,130
THA,*,10110,20.01,140
THA,*,10110,30.01,165
THA,*,10110,40.01,210
THA,*,10120,0,50
THA,*,10120,2.51,70
THA,*,10120,5.01,100
THA,*,10120,10.01,130
THA,*,10120,20.01,140
THA,*,10120,30.01,165
THA,*,10120,40.01,210
THA,*,10130,0,50
THA,*,10130,2.51,70
THA,*,10130,5.01,100
THA,*,10130,10.01,130
THA,*,10130,20.01,140
THA,*,10130,30.01,165
THA,*,10130,40.01,210
THA,*,10140,0,50
THA,*,10140,2.51,70
THA,*,10140,5.01,100
THA,*,10140,10.01,130
THA,*,10140,20.01,140
THA,*,10140,30.01,165
THA,*,10140,40.01,210
THA,*,10150,0,50
THA,*,10150,2.51,70
THA,*,10150,5.01,100
THA,*,10150,10.01,130
THA,*,10150,20.01,140
THA,*,10150,30.01,165
THA,*,10150,40.01,210
THA,*,10160,0,50
THA,*,10160,2.51,70
THA,*,10160,5.01,100
THA,*,10160,10.01,130
THA,*,10160,20.01,140
THA,*,10160,30.01,165
THA,*,10160,40.01,210
THA,*,10170,0,50
THA,*,10170,2.51,70
THA,*,10170,5.01,100
THA,*,10170,10.01,130
THA,*,10170,20.01,140
THA,*,10170,30.01,165
THA,*,10170,40.01,210
THA,*,10200,0,50
THA,*,10200,2.51,70
THA,*,10200,5.01,100
THA,*,10200,10.01,130
THA,*,10200,20.01,140
THA,*,10200,30.01,165
THA,*,10200,40.01,210
THA,*,10210,0,50
THA,*,10210,2.51,70
THA,*,10210,5.01,100
THA,*,10210,10.01,130
THA,*,10210,20.01,140
THA,*,10210,30.01,165
THA,*,10210,40.01,210
THA,*,10220,0,50
THA,*,10220,2.51,70
THA,*,10220,5.01,100
THA,*,10220,10.01,130
THA,*,10220,20.01,140
THA,*,10220,30.01,165
THA,*,10220,40.01,210
THA,*,10230,0,50
THA,*,10230,2.51,70
THA,*,10230,5.01,100
THA,*,10230,10.01,130
THA,*,10230,20.01,140
THA,*,10230,30.01,165
THA,*,10230,40.01,210
THA,*,10240,0,50
THA,*,10240,2.51,70
THA,*,10240,5.01,100
THA,*,10240,10.01,130
THA,*,10240,20.01,140
THA,*,10240,30.01,165
THA,*,10240,40.01,210
THA,*,10250,0,50
THA,*,10250,2.51,70
THA,*,10250,5.01,100
THA,*,10250,10.01,130
THA,*,10250,20.01,140
THA,*,10250,30.01,165
THA,*,10250,40.01,210
THA,*,10260,0,50
THA,*,10260,2.51,70
THA,*,10260,5.01,100
THA,*,10260,10.01,130
THA,*,10260,20.01,140
THA,*,10260,30.01,165
THA,*,10260,40.01,210
THA,*,10270,0,50
THA,*,10270,2.51,70
THA,*,10270,5.01,100
THA,*,10270,10.01,130
THA,*,10270,20.01,140
THA,*,10270,30.01,165
THA,*,10270,40.01,210
THA,*,10280,0,50
THA,*,10280,2.51,70
THA,*,10280,5.01,100
THA,*,10280,10.01,130
THA,*,10280,20.01,140
THA,*,10280,30.01,165
THA,*,10280,40.01,210
THA,*,10290,0,50
THA,*,10290,2.51,70
THA,*,10290,5.01,100
THA,*,10290,10.01,130
THA,*,10290,20.01,140
THA,*,10290,30.01,165
THA,*,10290,40.01,210
THA,*,10300,0,50
THA,*,10300,2.51,70
THA,*,10300,5.01,100
THA,*,10300,10.01,130
THA,*,10300,20.01,140
THA,*,10300,30.01,165
THA,*,10300,40.01,210
THA,*,10310,0,50
THA,*,10310,2.51,70
THA,*,10310,5.01,100
THA,*,10310,10.01,130
THA,*,10310,20.01,140
THA,*,10310,30.01,165
THA,*,10310,40.01,210
THA,*,10330,0,50
THA,*,10330,2.51,70
THA,*,10330,5.01,100
THA,*,10330,10.01,130
THA,*,10330,20.01,140
THA,*,10330,30.01,165
THA,*,10330,40.01,210
THA,*,10400,0,50
THA,*,10400,2.51,70
THA,*,10400,5.01,100
THA,*,10400,10.01,130
THA,*,10400,20.01,140
THA,*,10400,30.01,165
THA,*,10400,40.01,210
THA,*,10500,0,50
THA,*,10500,2.51,70
THA,*,10500,5.01,100
THA,*,10500,10.01,130
THA,*,10500,20.01,140
THA,*,10500,30.01,165
THA,*,10500,40.01,210
THA,*,10510,0,50
THA,*,10510,2.51,70
THA,*,10510,5.01,100
THA,*,10510,10.01,130
THA,*,10510,20.01,140
THA,*,10510,30.01,165
THA,*,10510,40.01,210
THA,*,10520,0,50
THA,*,10520,2.51,70
THA,*,10520,5.01,100
THA,*,10520,10.01,130
THA,*,10520,20.01,140
THA,*,10520,30.01,165
THA,*,10520,40.01,210
THA,*,10530,0,50
THA,*,10530,2.51,70
THA,*,10530,5.01,100
THA,*,10530,10.01,130
THA,*,10530,20.01,140
THA,*,10530,30.01,165
THA,*,10530,40.01,210
THA,*,10540,0,50
THA,*,10540,2.51,70
THA,*,10540,5.01,100
THA,*,10540,10.01,130
THA,*,10540,20.01,140
THA,*,10540,30.01,165
THA,*,10540,40.01,210
THA,*,10550,0,50
THA,*,10550,2.51,70
THA,*,10550,5.01,100
THA,*,10550,10.01,130
THA,*,10550,20.01,140
THA,*,10550,30.01,165
THA,*,10550,40.01,210
THA,*,10560,0,50
THA,*,10560,2.51,70
THA,*,10560,5.01,100
